FIPS,Abbreviation,Name
2,AK,Alaska
28,MS,Mississippi
1,AL,Alabama
30,MT,Montana
5,AR,Arkansas
37,NC,North Carolina
60,AS,American Samoa
38,ND,North Dakota
4,AZ,Arizona
31,NE,Nebraska
6,CA,California
33,NH,New Hampshire
8,CO,Colorado
34,NJ,New jersey
9,CT,Connecticut
35,NM,New Mexico
11,DC,District of Columbia
32,NV,Nevada
10,DE,Delaware
36,NY,New York
12,FL,Florida
39,OH,Ohio
13,GA,Georgia
40,OK,Oklahoma
66,GU,Guam
41,OR,Oregon
15,HI,Hawaii
42,PA,Pennsylvania
19,IA,Iowa
72,PR,Puerto rico
16,ID,Idaho
44,RI,Rhode island
17,IL,Illinois
45,SC,South Carolina
18,IN,Indiana
46,SD,South Dakota
20,KS,Kansas
47,TN,Tennessee
21,KY,Kentucky
48,TX,Texas
22,LA,Louisiana
49,UT,Utah
25,MA,Massachusetts
51,VA,Virginia
24,MD,Maryland
78,VI,Virgin islands
23,ME,Maine
50,VT,Vermont
26,MI,Michigan
53,WA,Washington
27,MN,Minnesota
55,WI,Wisconsin
29,MO,Missouri
54,WV,West Virginia
56,WY,Wyoming
